
Solucao:
2.281378 
-0.215137 
0.000000 
0.000000 
3295407365268449854170303858853255481290804287250753069205610866314685225478221929440303804511479335976900707380373743402623962367164976910778113007474887404855672867506546910086588097746213041754105322599806244578642809396920320.000000 
0.000000 
0.000000 
0.000000 

Coeficiente a: 9.790160.
Coeficiente b: -0.215137.
Norma2 do erro: 0.051854.


 t	  y(t)

0.0	0.00000
0.1	0.95818
0.2	1.87557
0.3	2.75348
0.4	3.59316
0.5	4.39586
0.6	5.16275
0.7	5.89502
0.8	6.59377
0.9	7.26010
1.0	7.89509
1.1	8.49976
1.2	9.07511
1.3	9.62212
1.4	10.14173
1.5	10.63486
1.6	11.10241
1.7	11.54524
1.8	11.96419
1.9	12.36008
2.0	12.73369
2.1	13.08580
2.2	13.41716
2.3	13.72848
2.4	14.02047
2.5	14.29381
2.6	14.54916
2.7	14.78717
2.8	15.00846
2.9	15.21363
3.0	15.40327
3.1	15.57794
3.2	15.73820
3.3	15.88458
3.4	16.01760
3.5	16.13776
3.6	16.24555
3.7	16.34144
3.8	16.42590
3.9	16.49935
4.0	16.56223
4.1	16.61497
4.2	16.65795
4.3	16.69158
4.4	16.71624
4.5	16.73228
4.6	16.74006
4.7	16.73994
4.8	16.73224
4.9	16.71728
5.0	16.69538
5.1	16.66683
5.2	16.63194
5.3	16.59099
5.4	16.54424
5.5	16.49197
5.6	16.43443
5.7	16.37186
5.8	16.30452
5.9	16.23262
6.0	16.15640
6.1	16.07608
6.2	15.99185
6.3	15.90392
6.4	15.81249
6.5	15.71775
6.6	15.61988
6.7	15.51906
6.8	15.41545
6.9	15.30922
7.0	15.20053
7.1	15.08953
7.2	14.97637
7.3	14.86120
7.4	14.74414
7.5	14.62533
7.6	14.50490
7.7	14.38297
7.8	14.25966
7.9	14.13508
8.0	14.00935
8.1	13.88257
8.2	13.75483
8.3	13.62625
8.4	13.49691
8.5	13.36690
8.6	13.23631
8.7	13.10522
8.8	12.97372
8.9	12.84188
9.0	12.70977
9.1	12.57747
9.2	12.44505
9.3	12.31256
9.4	12.18008
9.5	12.04766
9.6	11.91535
9.7	11.78322
9.8	11.65132
9.9	11.51970
10.0	11.38840
10.1	11.25747
10.2	11.12695
10.3	10.99689
10.4	10.86733
10.5	10.73830
10.6	10.60984
10.7	10.48198
10.8	10.35476
10.9	10.22821
11.0	10.10235
11.1	9.97722
11.2	9.85284
11.3	9.72923
11.4	9.60642
11.5	9.48443
11.6	9.36328
11.7	9.24300
11.8	9.12359
11.9	9.00508
12.0	8.88748
12.1	8.77080
12.2	8.65507
12.3	8.54029
12.4	8.42647
12.5	8.31363
12.6	8.20178
12.7	8.09092
12.8	7.98107
12.9	7.87222
13.0	7.76440
13.1	7.65760
13.2	7.55182
13.3	7.44708
13.4	7.34338
13.5	7.24072
13.6	7.13910
13.7	7.03853
13.8	6.93901
13.9	6.84053
14.0	6.74310
14.1	6.64672
14.2	6.55139
14.3	6.45711
14.4	6.36387
14.5	6.27167
14.6	6.18052
14.7	6.09040
14.8	6.00133
14.9	5.91328
15.0	5.82627
15.1	5.74027
15.2	5.65531
15.3	5.57135
15.4	5.48841
15.5	5.40648
15.6	5.32554
15.7	5.24561
15.8	5.16666
15.9	5.08870
16.0	5.01171
